Date,Searching_Number,Country,Time_Frame,Keyword,Language,Regions
2023-05-12,39,Japan,3-m,Machine learning,en,Asia
2023-05-13,60,Japan,3-m,Machine learning,en,Asia
2023-05-14,42,Japan,3-m,Machine learning,en,Asia
2023-02-18,24,Germany,3-m,Machine learning,en,Europe
2023-02-19,57,Germany,3-m,Machine learning,en,Europe
2023-02-20,76,Germany,3-m,Machine learning,en,Europe
2023-02-21,52,Germany,3-m,Machine learning,en,Europe
2023-02-22,72,Germany,3-m,Machine learning,en,Europe
2023-02-23,57,Germany,3-m,Machine learning,en,Europe
2023-02-24,60,Germany,3-m,Machine learning,en,Europe
2023-02-25,42,Germany,3-m,Machine learning,en,Europe
2023-02-26,39,Germany,3-m,Machine learning,en,Europe
2023-02-27,81,Germany,3-m,Machine learning,en,Europe
2023-02-28,54,Germany,3-m,Machine learning,en,Europe
2023-03-01,78,Germany,3-m,Machine learning,en,Europe
2023-03-02,71,Germany,3-m,Machine learning,en,Europe
2023-03-03,75,Germany,3-m,Machine learning,en,Europe
2023-03-04,28,Germany,3-m,Machine learning,en,Europe
2023-03-05,41,Germany,3-m,Machine learning,en,Europe
2023-03-06,56,Germany,3-m,Machine learning,en,Europe
2023-03-07,67,Germany,3-m,Machine learning,en,Europe
2023-03-08,46,Germany,3-m,Machine learning,en,Europe
2023-03-09,55,Germany,3-m,Machine learning,en,Europe
2023-03-10,74,Germany,3-m,Machine learning,en,Europe
2023-03-11,34,Germany,3-m,Machine learning,en,Europe
2023-03-12,32,Germany,3-m,Machine learning,en,Europe
2023-03-13,78,Germany,3-m,Machine learning,en,Europe
2023-03-14,72,Germany,3-m,Machine learning,en,Europe
2023-03-15,57,Germany,3-m,Machine learning,en,Europe
2023-03-16,49,Germany,3-m,Machine learning,en,Europe
2023-03-17,57,Germany,3-m,Machine learning,en,Europe
2023-03-18,20,Germany,3-m,Machine learning,en,Europe
2023-03-19,33,Germany,3-m,Machine learning,en,Europe
2023-03-20,70,Germany,3-m,Machine learning,en,Europe
2023-03-21,92,Germany,3-m,Machine learning,en,Europe
2023-03-22,61,Germany,3-m,Machine learning,en,Europe
2023-03-23,67,Germany,3-m,Machine learning,en,Europe
2023-03-24,54,Germany,3-m,Machine learning,en,Europe
2023-03-25,19,Germany,3-m,Machine learning,en,Europe
2023-03-26,35,Germany,3-m,Machine learning,en,Europe
2023-03-27,63,Germany,3-m,Machine learning,en,Europe
2023-03-28,73,Germany,3-m,Machine learning,en,Europe
2023-03-29,78,Germany,3-m,Machine learning,en,Europe
2023-03-30,63,Germany,3-m,Machine learning,en,Europe
2023-03-31,65,Germany,3-m,Machine learning,en,Europe
2023-04-01,46,Germany,3-m,Machine learning,en,Europe
2023-04-02,28,Germany,3-m,Machine learning,en,Europe
2023-04-03,39,Germany,3-m,Machine learning,en,Europe
2023-04-04,63,Germany,3-m,Machine learning,en,Europe
2023-04-05,75,Germany,3-m,Machine learning,en,Europe
2023-04-06,38,Germany,3-m,Machine learning,en,Europe
2023-04-07,42,Germany,3-m,Machine learning,en,Europe
2023-04-08,29,Germany,3-m,Machine learning,en,Europe
2023-04-09,28,Germany,3-m,Machine learning,en,Europe
2023-04-10,33,Germany,3-m,Machine learning,en,Europe
2023-04-11,60,Germany,3-m,Machine learning,en,Europe
2023-04-12,49,Germany,3-m,Machine learning,en,Europe
2023-04-13,48,Germany,3-m,Machine learning,en,Europe
2023-04-14,63,Germany,3-m,Machine learning,en,Europe
2023-04-15,56,Germany,3-m,Machine learning,en,Europe
2023-04-16,38,Germany,3-m,Machine learning,en,Europe
2023-04-17,67,Germany,3-m,Machine learning,en,Europe
2023-04-18,76,Germany,3-m,Machine learning,en,Europe
2023-04-19,48,Germany,3-m,Machine learning,en,Europe
2023-04-20,92,Germany,3-m,Machine learning,en,Europe
2023-04-21,58,Germany,3-m,Machine learning,en,Europe
2023-04-22,36,Germany,3-m,Machine learning,en,Europe
2023-04-23,46,Germany,3-m,Machine learning,en,Europe
2023-04-24,43,Germany,3-m,Machine learning,en,Europe
2023-04-25,59,Germany,3-m,Machine learning,en,Europe
2023-04-26,57,Germany,3-m,Machine learning,en,Europe
2023-04-27,65,Germany,3-m,Machine learning,en,Europe
2023-04-28,61,Germany,3-m,Machine learning,en,Europe
2023-04-29,24,Germany,3-m,Machine learning,en,Europe
2023-04-30,43,Germany,3-m,Machine learning,en,Europe
2023-05-01,25,Germany,3-m,Machine learning,en,Europe
2023-05-02,60,Germany,3-m,Machine learning,en,Europe
2023-05-03,47,Germany,3-m,Machine learning,en,Europe
2023-05-04,54,Germany,3-m,Machine learning,en,Europe
2023-05-05,44,Germany,3-m,Machine learning,en,Europe
2023-05-06,54,Germany,3-m,Machine learning,en,Europe
2023-05-07,39,Germany,3-m,Machine learning,en,Europe
2023-05-08,100,Germany,3-m,Machine learning,en,Europe
2023-05-09,67,Germany,3-m,Machine learning,en,Europe
2023-05-10,61,Germany,3-m,Machine learning,en,Europe
2023-05-11,50,Germany,3-m,Machine learning,en,Europe
2023-05-12,32,Germany,3-m,Machine learning,en,Europe
2023-05-13,15,Germany,3-m,Machine learning,en,Europe
2023-05-14,20,Germany,3-m,Machine learning,en,Europe
2023-02-18,48,India,3-m,Machine learning,en,Asia
2023-02-19,66,India,3-m,Machine learning,en,Asia
2023-02-20,93,India,3-m,Machine learning,en,Asia
2023-02-21,94,India,3-m,Machine learning,en,Asia
2023-02-22,94,India,3-m,Machine learning,en,Asia
2023-02-23,88,India,3-m,Machine learning,en,Asia
2023-02-24,75,India,3-m,Machine learning,en,Asia
2023-02-25,68,India,3-m,Machine learning,en,Asia
2023-02-26,68,India,3-m,Machine learning,en,Asia
2023-02-27,89,India,3-m,Machine learning,en,Asia
2023-02-28,97,India,3-m,Machine learning,en,Asia
2023-03-01,92,India,3-m,Machine learning,en,Asia
2023-03-02,84,India,3-m,Machine learning,en,Asia
2023-03-03,87,India,3-m,Machine learning,en,Asia
2023-03-04,69,India,3-m,Machine learning,en,Asia
2023-03-05,78,India,3-m,Machine learning,en,Asia
2023-03-06,92,India,3-m,Machine learning,en,Asia
2023-03-07,78,India,3-m,Machine learning,en,Asia
2023-03-08,76,India,3-m,Machine learning,en,Asia
2023-03-09,91,India,3-m,Machine learning,en,Asia
2023-03-10,76,India,3-m,Machine learning,en,Asia
2023-03-11,72,India,3-m,Machine learning,en,Asia
2023-03-12,76,India,3-m,Machine learning,en,Asia
2023-03-13,91,India,3-m,Machine learning,en,Asia
2023-03-14,92,India,3-m,Machine learning,en,Asia
2023-03-15,94,India,3-m,Machine learning,en,Asia
2023-03-16,100,India,3-m,Machine learning,en,Asia
2023-03-17,79,India,3-m,Machine learning,en,Asia
2023-03-18,67,India,3-m,Machine learning,en,Asia
2023-03-19,58,India,3-m,Machine learning,en,Asia
2023-03-20,86,India,3-m,Machine learning,en,Asia
2023-03-21,79,India,3-m,Machine learning,en,Asia
2023-03-22,66,India,3-m,Machine learning,en,Asia
2023-03-23,95,India,3-m,Machine learning,en,Asia
2023-03-24,77,India,3-m,Machine learning,en,Asia
2023-03-25,66,India,3-m,Machine learning,en,Asia
2023-03-26,67,India,3-m,Machine learning,en,Asia
2023-03-27,82,India,3-m,Machine learning,en,Asia
2023-03-28,85,India,3-m,Machine learning,en,Asia
2023-03-29,86,India,3-m,Machine learning,en,Asia
2023-03-30,86,India,3-m,Machine learning,en,Asia
2023-03-31,77,India,3-m,Machine learning,en,Asia
2023-04-01,66,India,3-m,Machine learning,en,Asia
2023-04-02,57,India,3-m,Machine learning,en,Asia
2023-04-03,75,India,3-m,Machine learning,en,Asia
2023-04-04,81,India,3-m,Machine learning,en,Asia
2023-04-05,80,India,3-m,Machine learning,en,Asia
2023-04-06,84,India,3-m,Machine learning,en,Asia
2023-04-07,72,India,3-m,Machine learning,en,Asia
2023-04-08,55,India,3-m,Machine learning,en,Asia
2023-04-09,48,India,3-m,Machine learning,en,Asia
2023-04-10,96,India,3-m,Machine learning,en,Asia
2023-04-11,88,India,3-m,Machine learning,en,Asia
2023-04-12,89,India,3-m,Machine learning,en,Asia
2023-04-13,74,India,3-m,Machine learning,en,Asia
2023-04-14,59,India,3-m,Machine learning,en,Asia
2023-04-15,68,India,3-m,Machine learning,en,Asia
2023-04-16,66,India,3-m,Machine learning,en,Asia
2023-04-17,90,India,3-m,Machine learning,en,Asia
2023-04-18,88,India,3-m,Machine learning,en,Asia
2023-04-19,86,India,3-m,Machine learning,en,Asia
2023-04-20,83,India,3-m,Machine learning,en,Asia
2023-04-21,75,India,3-m,Machine learning,en,Asia
2023-04-22,54,India,3-m,Machine learning,en,Asia
2023-04-23,71,India,3-m,Machine learning,en,Asia
2023-04-24,93,India,3-m,Machine learning,en,Asia
2023-04-25,85,India,3-m,Machine learning,en,Asia
2023-04-26,99,India,3-m,Machine learning,en,Asia
